sim	id	N	NGE	MODEL	H2G	H2GE	fastGWAS	LINEAR_MODEL
1	1	100000	500	10pct	0.1	0	False	enet
1	2	100000	500	10pct	0.1	0	False	enet
1	3	100000	500	10pct	0.1	0	False	enet
1	4	100000	500	10pct	0.1	0	False	enet
1	5	100000	500	10pct	0.1	0	False	enet
1	6	100000	500	10pct	0.1	0	False	enet
1	7	100000	500	10pct	0.1	0	False	enet
1	8	100000	500	10pct	0.1	0	False	enet
1	9	100000	500	10pct	0.1	0	False	enet
1	10	100000	500	10pct	0.1	0	False	enet
1	11	100000	500	10pct	0.1	0	False	enet
1	12	100000	500	10pct	0.1	0	False	enet
1	13	100000	500	10pct	0.1	0	False	enet
1	14	100000	500	10pct	0.1	0	False	enet
1	15	100000	500	10pct	0.1	0	False	enet
1	16	100000	500	10pct	0.1	0	False	enet
1	17	100000	500	10pct	0.1	0	False	enet
1	18	100000	500	10pct	0.1	0	False	enet
1	19	100000	500	10pct	0.1	0	False	enet
1	20	100000	500	10pct	0.1	0	False	enet
1	21	100000	500	10pct	0.1	0	False	enet
1	22	100000	500	10pct	0.1	0	False	enet
1	23	100000	500	10pct	0.1	0	False	enet
1	24	100000	500	10pct	0.1	0	False	enet
1	25	100000	500	10pct	0.1	0	False	enet
1	26	100000	500	10pct	0.1	0	False	enet
1	27	100000	500	10pct	0.1	0	False	enet
1	28	100000	500	10pct	0.1	0	False	enet
1	29	100000	500	10pct	0.1	0	False	enet
1	30	100000	500	10pct	0.1	0	False	enet
1	31	100000	500	10pct	0.1	0	False	enet
1	32	100000	500	10pct	0.1	0	False	enet
1	33	100000	500	10pct	0.1	0	False	enet
1	34	100000	500	10pct	0.1	0	False	enet
1	35	100000	500	10pct	0.1	0	False	enet
1	36	100000	500	10pct	0.1	0	False	enet
1	37	100000	500	10pct	0.1	0	False	enet
1	38	100000	500	10pct	0.1	0	False	enet
1	39	100000	500	10pct	0.1	0	False	enet
1	40	100000	500	10pct	0.1	0	False	enet
1	41	100000	500	10pct	0.1	0	False	enet
1	42	100000	500	10pct	0.1	0	False	enet
1	43	100000	500	10pct	0.1	0	False	enet
1	44	100000	500	10pct	0.1	0	False	enet
1	45	100000	500	10pct	0.1	0	False	enet
1	46	100000	500	10pct	0.1	0	False	enet
1	47	100000	500	10pct	0.1	0	False	enet
1	48	100000	500	10pct	0.1	0	False	enet
1	49	100000	500	10pct	0.1	0	False	enet
1	50	100000	500	10pct	0.1	0	False	enet
1	51	100000	500	10pct	0.1	0	False	enet
1	52	100000	500	10pct	0.1	0	False	enet
1	53	100000	500	10pct	0.1	0	False	enet
1	54	100000	500	10pct	0.1	0	False	enet
1	55	100000	500	10pct	0.1	0	False	enet
1	56	100000	500	10pct	0.1	0	False	enet
1	57	100000	500	10pct	0.1	0	False	enet
1	58	100000	500	10pct	0.1	0	False	enet
1	59	100000	500	10pct	0.1	0	False	enet
1	60	100000	500	10pct	0.1	0	False	enet
1	61	100000	500	10pct	0.1	0	False	enet
1	62	100000	500	10pct	0.1	0	False	enet
1	63	100000	500	10pct	0.1	0	False	enet
1	64	100000	500	10pct	0.1	0	False	enet
1	65	100000	500	10pct	0.1	0	False	enet
1	66	100000	500	10pct	0.1	0	False	enet
1	67	100000	500	10pct	0.1	0	False	enet
1	68	100000	500	10pct	0.1	0	False	enet
1	69	100000	500	10pct	0.1	0	False	enet
1	70	100000	500	10pct	0.1	0	False	enet
1	71	100000	500	10pct	0.1	0	False	enet
1	72	100000	500	10pct	0.1	0	False	enet
1	73	100000	500	10pct	0.1	0	False	enet
1	74	100000	500	10pct	0.1	0	False	enet
1	75	100000	500	10pct	0.1	0	False	enet
1	76	100000	500	10pct	0.1	0	False	enet
1	77	100000	500	10pct	0.1	0	False	enet
1	78	100000	500	10pct	0.1	0	False	enet
1	79	100000	500	10pct	0.1	0	False	enet
1	80	100000	500	10pct	0.1	0	False	enet
1	81	100000	500	10pct	0.1	0	False	enet
1	82	100000	500	10pct	0.1	0	False	enet
1	83	100000	500	10pct	0.1	0	False	enet
1	84	100000	500	10pct	0.1	0	False	enet
1	85	100000	500	10pct	0.1	0	False	enet
1	86	100000	500	10pct	0.1	0	False	enet
1	87	100000	500	10pct	0.1	0	False	enet
